Company,Region ID,Tag ID,Grade ID,Variety ID,Commodity ID,First Receive Date,Warehouse Location,Room/Row ID,Commodity ID.1,Size ID,Grade ID.1,Style ID,Method ID,On Hand Quantity
"KINGS RIVER PACKING, LP",USA,8619225,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A12,MANDARIN,15,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619227,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A12,MANDARIN,15,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619228,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A12,MANDARIN,15,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619230,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A48,MANDARIN,36,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619316,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A48,MANDARIN,36,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619321,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A54,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619322,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619323,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619324,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619328,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A48,MANDARIN,36,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619389,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A48,MANDARIN,36,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619496,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619497,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619499,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619620,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619621,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619622,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619637,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619638,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619671,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619672,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619673,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619674,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,0.9
"KINGS RIVER PACKING, LP",USA,8619681,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619684,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619704,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
