DateTime,TargetWeight(oz)-B1,Weight/Product(oz)-B1,Products/min-B1,TargetWeight(oz)-B2,Weight/Product(oz)-B2,Products/min-B2,TargetWeight(oz)-B3,Weight/Product(oz)-B3,Products/min-B3,TargetWeight(oz)-A3,Weight/Product(oz)-A3,Products/min-A3,TargetWeight(oz)-B4,Weight/Product(oz)-B4,Products/min-B4,TargetWeight(oz)-A1,Weight/Product(oz)-A1,Products/min-A1,TargetWeight(oz)-A4,Weight/Product(oz)-A4,Products/min-A4,TargetWeight(oz)-A2,Weight/Product(oz)-A2,Products/min-A2
18:00.0,0,0,0,0,0,0,53.8575,49.3835,57,0,0,0,0,0,0,86.045,80.7774,58,56.2737,81.1301,25,9.0301,49.7363,2
24:00.0,0,0,0,0,0,0,52.3995,49.3835,60,0,0,0,0,0,0,43.1577,80.7774,31,55.5389,81.1301,28,0,0,0
30:00.0,0,0,0,0,0,0,53.2049,49.3835,51,0,0,0,0,0,0,0,0,0,83.6228,81.1301,45,16.8845,49.7363,8
36:00.0,0,0,0,0,0,0,52.617,49.3835,32,0,0,0,0,0,0,0,0,0,76.5621,81.1301,19,54.2631,49.7363,59
42:00.0,0,0,0,0,0,0,51.4588,49.3835,36,0,0,0,0,0,0,71.1241,80.7774,49,0,0,0,56.0503,49.7363,59
48:00.0,0,0,0,0,0,0,51.1766,49.3835,31,0,0,0,0,0,0,41.7585,80.7774,6,54.0397,81.1301,32,26.4026,49.7363,24
54:00.0,0,0,0,0,0,0,44.2865,49.3835,29,0,0,0,0,0,0,72.147,80.7774,43,41.9231,81.1301,13,0,0,0
00:00.0,0,0,0,0,0,0,19.0303,49.3835,2,0,0,0,0,0,0,71.759,80.7774,35,0,0,0,36.0088,49.7363,35
06:00.0,0,0,0,0,0,0,51.3471,49.3835,62,0,0,0,0,0,0,0,0,0,0,0,0,53.2519,49.7363,41
12:00.0,0,0,0,0,0,0,51.888,49.3835,57,0.8348,49.7363,0,0,0,0,41.635,80.7774,14,39.9301,81.1301,37,52.5758,49.7363,34
18:00.0,0,0,0,0,0,0,52.3701,49.3835,43,0,0,0,0,0,0,59.3132,80.7774,24,51.9056,49.7363,57,56.2678,49.7363,60
24:00.0,0,0,0,0,0,0,42.7697,49.3835,32,17.3783,49.7363,10,0,0,0,14.2036,80.7774,0,34.3392,49.7363,28,56.9616,49.7363,59
30:00.0,0,0,0,0,0,0,50.7298,49.3835,37,53.1755,49.7363,40,0,0,0,0,0,0,50.5064,49.7363,59,45.9385,49.7363,42
36:00.0,0,0,0,0,0,0,50.9297,49.3835,54,51.7293,49.7363,35,0,0,0,57.9257,80.7774,25,42.5874,49.7363,22,0,0,0
42:00.0,0,0,0,0,0,0,34.9565,49.3835,34,55.6329,49.7363,42,0,0,0,26.2379,80.7774,2,52.2466,49.7363,50,0,0,0
48:00.0,33.4221,64.9041,6,0,0,0,0,0,0,59.2073,49.7363,46,0,0,0,28.7777,49.7363,2,51.1355,49.7363,63,0,0,0
